Description/Name,Part#,Supplier,Current Stock,Comparison,Notes,Order,Webpage,Suggest List Price/1,Location,Image
Size 4-6 JIC Male Connector,2404-6-10,Federal Fluid Power,14,UNKWN,AC,,,,,
Size 4-6 JIC Male Connector,2404-4-6,Federal Fluid Power,21,UNKWN,AC,,,,,
Size 4 JIC Male Connector,2404-4-4,Service Manufacturing Supply,28,HAZL ONLY,AC,,,,,
Size 4 JIC Male Elbow,2501-4-4,Service Manufacturing Supply,,HAZL ONLY,,,,,,
Size 4-6 JIC Male Elbow,2501-4-6,Federal Fluid Power,3,UNKWN,AC,,,,,
Size 4 JIC Male 45 Degree Elbow,2503-4-4,Service Manufacturing Supply,8,HAZL ONLY,AC,,,,,
Size 4-6 JIC Male 45 Degree Elbow,2503-4-6,Federal Fluid Power,4,UNKWN,AC,,,,,
Size 4 JIC Bulkhead Union 45 Degree Elbow,2702-4-4,Service Manufacturing Supply,72,HAZL ONLY,AC,,,,,
Size 4 JIC Bulkhead Run Tee,2704-4,Service Manufacturing Supply,,HAZL ONLY,,,,,,
Size 4 JIC Swivel Nut Elbow,6500-4-4,Service Manufacturing Supply,28,HAZL ONLY,AC,,,,,
Size 4-6 JIC Swivel Nut Elbow,6500-4-6,Service Manufacturing Supply,16,HAZL ONLY,AC,,,,,
Size 4 JIC Swivel 45 Degree Elbow,6502-4-4,Service Manufacturing Supply,15,HAZL ONLY,AC,,,,,
Size 6 JIC Swivel 45 Degree Elbow,6502-6-6,Federal Fluid Power,6,UNKWN,AC,,,,,
Size 4-6 JIC to O-Ring Elbow Connector,6801-4-6,Service Manufacturing Supply,15,HAZL ONLY,AC,,,,,
Size 4 JIC to O-Ring Elbow Connector,6801-4-4,Federal Fluid Power,4,UNKWN,AC,,,,,
Size 4-8 JIC To O-Ring 45 Degree Elbow,6802-4-8,Service Manufacturing Supply,63,HAZL ONLY,AC,,,,,
Size 4-6 JIC To O-Ring 45 Degree Elbow,6802-4-6,Federal Fluid Power,4,UNKWN,AC,,,,,
Size 4 JIC To O-Ring Connector 45 Degree Elbow,6802-4-4,Federal Fluid Power,10,UNKWN,AC,,,,,
Size 6 Cap,0304-C-6,Service Manufacturing Supply,37,HAZL ONLY,AC,,,,,
Size 12 Cap,0304-C-12,Federal Fluid Power,32,UNKWN,AC,,,,,
Size 16 Cap,0304-C-16,Federal Fluid Power,20,UNKWN,AC,,,,,
Size 6 JIC Male Elbow 90 Degree,2501-6-6,Service Manufacturing Supply,6,HAZL ONLY,AC,,,,,
Size 6 JIC Male Long Elbow 90 Degree,2501-L-6-6,Federal Fluid Power,1,UNKWN,AC,,,,,
Size 16 Male Elbow 90 Degree,2501-16-16,Federal Fluid Power,3,UNKWN,AC,,,,,
Size 16-12 Male Elbow 90 Degree,2501-16-12,Federal Fluid Power,5,UNKWN,AC,,,,,
Size 6 JIC Bulkhead Union,2700-6-6,Service Manufacturing Supply,21,HAZL ONLY,AC,,,,,
Size 6 JIC To O-Ring Connector,6400-6-6,Service Manufacturing Supply,16,HAZL ONLY,AC,,,,,
Size 4-6 JIC To O-Ring Connector,6400-4-6,Federal Fluid Power,12,UNKWN,AC,,,,,
Size 6 JIC Swivel Nut Elbow,6500-6,Service Manufacturing Supply,16,HAZL ONLY,AC,,,,,
Size 6-4 JIC To O-Ring Elbow Connector,6801-6-4,Federal Fluid Power,,,,,,,,
Size 6 JIC To O-Ring Elbow Connector,6801-6-6,Service Manufacturing Supply,10,HAZL ONLY,AC,,,,,
Size 6 JIC To O-Ring 45 Degree Elbow,6802-6-8,Service Manufacturing Supply,45,HAZL ONLY,AC,,,,,
Size 6 JIC To O-Ring 45 Degree Elbow,6802-6-10,Federal Fluid Power,5,UNKWN,AC,,,,,
Size 6 JIC Elbow Connector 45 Degree,6802-6-6,Federal Fluid Power,18,Shared btwn HAZL AND MAZL,AC,,,,,
Size 6-8 JIC To O-Ring Branch Tee,6802-6-6-6,Service Manufacturing Supply,,HAZL ONLY,,,,,,
Size 12 JIC To O-Ring Connector,6400-12-12,Service Manufacturing Supply,20,HAZL ONLY,AC,,,,,
Size 12 JIC Swivel Nut Elbw,6500-12-12,Service Manufacturing Supply,0,Shared btwn HAZL AND MAZL,AC,Need To Order 20,,,,
Size 16-4 JIC Reducer,2406-16-4,Service Manufacturing Supply,2,HAZL ONLY,AC,,,,,
Size 16-6 JIC Reducer ,2406-16-6,Federal Fluid Power,5,UNKWN,AC,,,,,
Size 16-6 JIC Reducer,2406-16-8,Service Manufacturing Supply,2,HAZL ONLY,AC,,,,,
Size 16 JIC Union Elbow 90 Degree,2500-16-16,Service Manufacturing Supply,8,HAZL ONLY,AC,,,,,
Size 6 JIC Union Elbow 90 Degree,2500-6-6,Federal Fluid Power,13,UNKWN,AC,,,,,
Size 16 JIC Union Tee,2603-16-16-16,Service Manufacturing Supply,16,HAZL ONLY,AC,,,,,
Size 4 JIC Union Tee,2603-4-4-4,Federal Fluid Power,28,UNKWN,AC,,,,,
Size 16 JIC Bulkhead Run Tee,2704-16-16-16,Service Manufacturing Supply,2,HAZL ONLY,AC,,,,,
Size 4 JIC Bulkhead Run Tee,2704-4-4-4,Federal Fluid Power,3,UNKWN,AC,,,,,
Size 16 JIC To O-Ring Connector,6400-16-16,Service Manufacturing Supply,1,HAZL ONLY,AC,,,,,
Size 16 JIC Swivel Nut Elbow,6500-16,Service Manufacturing Supply,3,HAZL ONLY,AC,,,,,
Size 16 JIC Swivel Branch Tee,6600-16-16-16,Service Manufacturing Supply,3,HAZL ONLY,AC,,,,,
Size 12 JIC Swivel Branch Tee,6600-12-12-12,Federal Fluid Power,11,UNKWN,AC,,,,,
Size 6 JIC Swivel Branch Tee,6600-6-6-6,Federal Fluid Power,5,UNKWN,AC,,,,,
Size 4 JIC Swivel Branch Tee,6600-4-4-4,Federal Fluid Power,19,UNKWN,AC,,,,,
Size 16 JIC To O-Ring Elbow Connector,6801-16,Service Manufacturing Supply,,HAZL ONLY,,,,,,
Size 16-20 JIC To O-Ring Elbow Connector,6801-16-20,Federal Fluid Power,2,UNKWN,AC,,,,,
Size 16-12 JIC To O-Ring 45 Degree Elbow,6802-16-12,Service Manufacturing Supply,6,HAZL ONLY,AC,,,,,
Size 16 JIC To O-Ring 45 Degree Elbow,6802-16-16,Service Manufacturing Supply,2,HAZL ONLY,AC,,,,,
Size 20-6 JIC Reducer,2406-20-6,Service Manufacturing Supply,10,HAZL ONLY,AC,,,,,
Size 20-16 JIC Reducer,2406-20-16,Service Manufacturing Supply,23,HAZL ONLY,AC,,https://www.motion.com/products/sku/00315854?srsltid=AfmBOoqumCgMkio68aLG_-fLuqKTJcLszRVVLmndP77YCp6c0SK2YMJC,$38.59,,
Size 20 JIC Union Elbow,2500-20-20,Service Manufacturing Supply,8,HAZL ONLY,AC,,https://www.onehydraulics.com/products/2500-20-20-fg?srsltid=AfmBOooGs8wZ4dGinrMa5o3UpsmF1ac3GdJyXQJ7awMTfPXVXdnISmkt,$45.65,,
Size 4 JIC Union Elbow,2500-4-4,Federal Fluid Power,35,UNKWN,AC,,,,,
Size 20 JIC Union Tee,2603-20-20-20,Service Manufacturing Supply,7,HAZL ONLY,AC,,,,,
Size 20 JIC Bulkhead Union,2700-20,Service Manufacturing Supply,13,HAZL ONLY,AC,,,,,
Size 20 Bulkhead Run Tee,2704-20,Service Manufacturing Supply,2,HAZL ONLY,AC,,,,,
Size 20-16 JIC To O-Ring Connector,6400-20-16,Service Manufacturing Supply,2,HAZL ONLY,AC,,,,,
Size 20 JIC Swivel 45 Degree Elbow,6502-20-20,Service Manufacturing Supply,3,HAZL ONLY,AC,,,,,
Size 20 JIC Swivel 45 Degree Elbow,6502-12-12,Federal Fluid Power,5,UNKWN,AC,,,,,
Size 16 JIC Swivel 45 Degree Elbow,6502-16-16,Federal Fluid Power,5,UNKWN,AC,,,,,
Size 20 Female JIC Swivel Connector,6565-20-20,Service Manufacturing Supply,2,HAZL ONLY,AC,,,,,
Size 20-12 JIC To O-Ring Elbow Connector,6801-20-12,Service Manufacturing Supply,9,HAZL ONLY,AC,,,,,
Size 20-16 JIC To O-Ring 45 Degree Elbow,6802-20-16,Service Manufacturing Supply,7,HAZL ONLY,AC,,,,,
Size 32 Female O-Ring To Male Pipe Adapter,6404-32,Service Manufacturing Supply,,HAZL ONLY,,,,,,
Size 32 JIC Swivel To Male Pipe Connector,6505-32-32,Service Manufacturing Supply,6,HAZL ONLY,AC,,https://www.onehydraulics.com/products/6505-32-32?srsltid=AfmBOoq-6F6ogAwqu7tK4JseOUNzbQwx7eLgfeQrI1cpi0tVFAoLFP5N,$273.34,,
Size 6 JIC Swivel To Male Pipe Connector,6505-6-6,Federal Fluid Power,15,UNKWN,AC,,,,,
Size 4 JIC Swivel TO Male Pipe Connector,6505-4-4,Federal Fluid Power,2,UNKWN,AC,,,,,
Size 4-6 JIC Swivel TO Male Pipe Connector,6505-4-6,Federal Fluid Power,20,UNKWN,AC,,,,,
"Size 6 (0.375"") Crimp On Fitting",06G-06FJX,Service Manufacturing Supply,11,HAZL ONLY,AC,,,,,
"Size 6 (0.375"") Crimp On Fitting 45 Degree",06G-06FJX45,Service Manufacturing Supply,,HAZL ONLY,,,,,,
"Size 6 (0.375"") Crimp On Fitting 90 Degree",06G-0690FJX,Service Manufacturing Supply,,HAZL ONLY,,,,,,
Size 8 37° JIC Female Swivel,FJX-8-8-W,Federal Fluid Power,38,UNKWN,AC,,,,,
"Continental Hose Fitting, 0.5 (1/2"") Hose ID x 3/4-16 Female JIC, 45-Degree Swivel Connection",B2-JCFX45-0808,Federal Fluid Power,49,UNKWN,AC,,https://www.onehydraulics.com/products/b2-jcfx45-0808-continental-hose-fitting-0-5-1-2-hose-id-x-3-4-16-female-jic-45-degree-swivel-connection,$41.30,,
"(1/2"") Hose ID x 3/4-16 Female JIC, Straight Swivel Connection",B2-JCFX-0808,Federal Fluid Power,14,UNKWN,AC,,https://www.onehydraulics.com/products/b2-jcfx-0808-continental-hose-fitting-0-5-1-2-hose-id-x-3-4-16-female-jic-straight-swivel-connection,,,
824V JIC 37° Female Swivel | 8,824V,Federal Fluid Power,6,UNKWN,AC,,https://industrialsupply4less.com/product/08u-608-824v/,$4.93,,
"1/2"" JIC Female for 5/8"" Hose",FJX-10-8,Federal Fluid Power,2,UNKWN,AC,,https://crimpfittings.com/products/10u-608-weatherhead,$13.54,,
"Size 16 (1"") Crimp On Fitting",16G-16FJX,Service Manufacturing Supply,,HAZL ONLY,,,,,,
"Size 16 (1"") Crimp On Fitting 90 Degree",16G-16FJX90,Service Manufacturing Supply,,HAZL ONLY,,,,,,
"Size 20 (1.25"") Crimp On Fitting",20G-20FJX,Service Manufacturing Supply,,HAZL ONLY,,,,,,
"Size 20 (1.25"") Crimp On Fitting 45 Degree",20G-20FJX45,Service Manufacturing Supply,,HAZL ONLY,,,,,,
"Size 20 (1.25"") Crimp On Fitting 90 Degree",20G-20FJX90,Service Manufacturing Supply,,HAZL ONLY,,,,,,
Size 16-20 JIC Reducer,2406-16-20,Service Manufacturing Supply,5,HAZL ONLY,AC,,,,,
Size 4 JIC Tube Nut,0318-4,Federal Fluid Power,263,Shared btwn HAZL AND MAZL,AC,,,,,
Size 4 JIC Swivel To Male Pipe Elbow,6501-4-4,Federal Fluid Power,54,MAZL ONLY,AC,,,,,
Size 6 JIC Female Connector,2405-6,Federal Fluid Power,,MAZL ONLY,,,,,,
Size 4-6 JIC Female Connector,2405-4-6,Federal Fluid Power,20,UNKWN,AC,,,,,
Size 4 JIC Female Connector,2405-4-4,Federal Fluid Power,27,UNKWN,AC,,,,,
Size 6-10 JIC O-Ring Connector,6400-6-10,Federal Fluid Power,46,MAZL ONLY,AC,,,,,
Size 12 JIC Bulkhead Union Elbow,2701-12,Federal Fluid Power,19,MAZL ONLY,AC,,,,,
Size 12 Long JIC To O-Ring Connector,6400-L-12-12-O,Federal Fluid Power,,MAZL ONLY,,,,,,
Size 12-10 JIC To O-Ring Connector,6400-12-10,Federal Fluid Power,23,MAZL ONLY,AC,,,,,
Size 12 Female JIC Swivel Connector,6565-12,Federal Fluid Power,1,MAZL ONLY,AC,,,,,
Size 12-8 JIC To O-Ring 45 Degree Elbow,6802-12-8,Federal Fluid Power,2,UNKWN,AC,,,,,
Size 12-10 JIC To O-Ring 45 Degree Elbow,6802-12-10,Federal Fluid Power,11,MAZL ONLY,AC,,,,,
Size 12 JIC To O-Ring 45 Degree Elbow,6802-12-12,Federal Fluid Power,52,MAZL ONLY,AC,,,,,
Size 12 JIC To O-Ring Run Tee,6804-12-12-12,Federal Fluid Power,4,MAZL ONLY,AC,,,,,
Size 16 JIC To O-Ring Run Tee,6804-16,Federal Fluid Power,2,UNKWN,AC,,,,,
Size 12 JIC Swivel Nut To O-Ring Elbow,6809-12-12,Federal Fluid Power,11,MAZL ONLY,AC,,,,,
LENZ Wheel,WFA-12,Federal Fluid Power,54,MAZL ONLY,AC,,,,,
Size 16 Steel Bulkhead Fitting,0306-16,Federal Fluid Power,59,Shared btwn HAZL AND MAZL,AC,,,,,
Size 16-20 JIC Expander,2406-16-20,Federal Fluid Power,,MAZL ONLY,,,,,,
Size 16 JIC Bulkhead Union Elbow,2701-16,Federal Fluid Power,7,MAZL ONLY,AC,,,,,
Size 16 JIC Bulkhead Union Elbow 45 Degree,2702-16,Federal Fluid Power,3,UNKWN,AC,,,,,
Size 16 JIC Swivel Run Tee,6602-16-16-16,Federal Fluid Power,1,MAZL ONLY,AC,,,,,
Size 6 JIC Swivel Run Tee,6602-6-6-6,Federal Fluid Power,3,UNKWN,AC,,,,,
Size 4 JIC Swivel Run Tee,6602-4-4-4,Federal Fluid Power,13,UNKWN,AC,,,,,
Size 12 JIC Swivel Run Tee,6602-12-12-12,Federal Fluid Power,6,UNKWN,AC,,,,,
Size 16-12 JIC To O-Ring Branch Tee,6803-16-12,Federal Fluid Power,,MAZL ONLY,,,,,,
Size 20 JIC Tube Nut,0318-20,Federal Fluid Power,9,Shared btwn HAZL AND MAZL,AC,,,,,
Size 20-12 JIC Reducer,2406-20-12,Federal Fluid Power,30,MAZL ONLY,,,,,,
Size 4-6 JIC Reducer,2406-4-6,Federal Fluid Power,8,UNKWN,AC,,,,,
Size 20 JIC Bulkhead Union Elbow,2701-20,Federal Fluid Power,,MAZL ONLY,,,,,,
Size 20-12 JIC To O-Ring Connector,6400-20-12,Federal Fluid Power,10,MAZL ONLY,AC,,,,,
Size 16-20 JIC To O-Ring Connector ,6400-16-12,Federal Fluid Power,3,UNKWN,AC,,,,,
Size 16-12 JIC To O-Ring Connector,6400-16-12,Federal Fluid Power,7,UNKWN,AC,,,,,
UNKWN Wheel,WFA_20,Federal Fluid Power,,MAZL ONLY,,,,,,
"Size 4 (0.25"") Crimp On Fitting 45 Degree",FJX45-4-4-W,Federal Fluid Power,11,MAZL ONLY,AC,,https://www.discounthydraulichose.com/FJX45-04-04W.html,,,
"Female 37 Degree JIC | 45 Degree | Swivel | for 1/2"" Hose ID",FJX45-8-8-W,Federal Fluid Power,10,UNKWN,AC,,https://hosewarehouse.com/products/fjx45-08-08-w-37-degree-jic-female-45-degree-swivel-1-2-hose-id,,,
"Jump Size | Female JIC | 90° Elbow | Swivel | for 3/8"" Hose ID",0606-04FJX90,Federal Fluid Power,5,UNKWN,AC,,,,,
"Size 4 (0.25"") Crimp On Fitting 90 Degree",04G-04FJX90M,Federal Fluid Power,,MAZL ONLY,,,,,,
"Size 12 (0.75"") Crimp On Fitting 45 Degree",12G-12MJ45,Federal Fluid Power,,MAZL ONLY,,,,,,
"Size 12 (0.75"") Crimp On Fitting 90 Degree -Long",B2-JCFX90-1212,Federal Fluid Power,27,MAZL ONLY,AC,,,,,
"JIC Female Swivel Fitting for 1/4"" ID Hose",B2-JCFX-4-4,Federal Fluid Power,50,Shared btwn HAZL AND MAZL,AC,,,,,
"90° Female JIC Swivel Medium Long Drop Tube Elbow Fitting for 1/4"" ID Hose", B2-JCFX90-0404 ,Federal Fluid Power,68,UNKWN,AC,,https://www.applied.com/c-brands/c-continental/b2-jcfx90-0404/Perma-Crimp-Fittings/p/101029611,,,
"90° Female JIC Swivel Medium Long Drop Tube Elbow Fitting for 1/2"" ID Hose",B2-JCFX90-0808,Federal Fluid Power,14,UNKWN,AC,,,,,
90° Female JIC Swivel Medium Long Drop Tube Elbow Fitting for 1/2” ID Hose,K-08,Federal Fluid Power,17,UNKWN,AC,,,,,
"1/4"" JIC Female 45 for 1/4"" Hose ",B2-JCFX45-0404,Federal Fluid Power,63,UNKWN,AC,,https://crimpfittings.com/products/b2-jcfx45-0404-continental,,,
"45° Female JIC Swivel Tube Elbow Fitting for 3/4"" ID Hose",B2-JCFX45-1212,Federal Fluid Power,21,UNKWN,AC,,https://www.applied.com/c-brands/c-continental/b2-jcfx45-1212/Perma-Crimp-Fittings/p/101029607,,,
1 & 2 Wire TTC Female JIC 37° Swivel (FJ) Crimp Fitting | -20 Female JIC 37° Swivel x -20 Hose Barb | Steel,1AA20FJ20,Federal Fluid Power,4,UNKWN,AC,,https://hosewarehouse.com/products/1aa20fj20-aeroquip-by-danfoss-1-2-wire-ttc-female-jic-37-swivel-fj-crimp-fitting-20-female-jic-37-swivel-x-20-hose-barb-steel,,,
